States/UTs,District,Murder,Rape_total,Kidnapping & Abduction_Total,Dacoity_total,Robbery,Criminal Trespass/Burglary,Theft,Unlawful Assembly,Riots,Cheating,Forgery,Counterfeit_Total,Arson,Grievous Hurt,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Sexual Harassment,Stalking,Importation of Girls from Foreign Country,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Total Cognizable IPC crimes
Uttar Pradesh,Kushi Nagar,36,66,141,0,7,40,136,0,119,63,0,3,6,261,31,53,48,0,0,0,178,0,1757
Uttar Pradesh,Lalitpur,27,75,34,0,15,12,59,0,26,42,0,6,0,10,12,38,26,3,0,0,79,0,962
Uttar Pradesh,Lucknow,132,204,377,14,60,623,3192,29,174,923,44,21,14,34,52,392,277,73,0,0,780,0,15107
Uttar Pradesh,Maharajganj,33,96,103,3,14,27,61,0,41,52,0,3,9,150,26,29,12,2,0,0,76,0,1162
Uttar Pradesh,Mahoba,27,66,58,2,18,34,57,0,26,30,0,0,0,3,14,62,26,1,0,0,78,0,814
Uttar Pradesh,Mainpuri,57,69,142,8,34,57,476,0,85,75,0,6,0,171,37,69,0,0,0,0,296,0,2469
Uttar Pradesh,Mathura,86,219,191,20,89,110,1159,0,190,267,0,21,4,245,48,114,14,6,0,0,390,0,4779
Uttar Pradesh,Mau,28,75,88,1,23,67,226,0,93,101,0,9,8,227,16,51,11,4,0,0,86,0,1476
Uttar Pradesh,Meerut,226,279,438,38,341,279,3550,0,294,431,0,18,0,24,53,412,179,56,0,0,700,0,10073
Uttar Pradesh,Mirzapur,25,57,12,0,5,19,45,0,1,0,43,6,4,89,26,10,10,0,0,0,67,0,780
Uttar Pradesh,Moradabad,90,267,190,27,66,120,788,0,78,221,0,3,0,51,36,189,104,26,0,0,193,0,4026
Uttar Pradesh,Muzaffarnagar,137,111,242,10,95,36,800,0,136,145,0,3,8,13,17,148,51,14,0,0,227,0,3952
Uttar Pradesh,Pilibhit,54,207,128,8,29,52,200,0,13,123,0,3,0,2,25,107,15,2,0,0,235,0,2916
Uttar Pradesh,Pratapgarh,72,204,248,12,53,159,431,0,200,185,0,6,11,306,21,165,125,8,0,0,172,0,4128
Uttar Pradesh,Raibareilly,50,144,113,6,15,82,195,0,60,67,0,0,1,144,27,69,0,2,0,0,103,0,2053
Uttar Pradesh,Rampur,54,102,100,14,25,53,344,0,34,122,0,6,0,0,18,54,54,0,0,0,215,0,1950
Uttar Pradesh,Saharanpur,92,219,273,17,110,106,793,2,205,214,0,9,0,20,28,167,64,25,0,0,161,0,4184
Uttar Pradesh,Sambhal,73,144,146,18,45,56,293,0,68,87,0,0,0,29,26,72,64,3,0,0,95,0,2087
Uttar Pradesh,Sant Kabirnagar,28,69,39,2,10,23,59,0,22,30,0,0,0,146,11,25,22,0,0,0,61,0,727
Uttar Pradesh,Shahjahanpur,88,249,210,8,62,59,281,0,42,118,0,6,4,282,61,181,176,0,0,0,245,0,3106
Uttar Pradesh,Shamli,67,96,100,10,54,49,329,0,103,73,0,0,0,43,18,58,43,7,0,0,58,0,1674
Uttar Pradesh,Shrawasti,15,15,40,0,5,35,49,0,16,65,0,0,0,165,9,31,6,0,0,0,28,0,801
Uttar Pradesh,Sidharthnagar,17,60,58,4,16,48,62,0,25,15,0,6,0,1,20,27,24,2,0,0,34,0,773
Uttar Pradesh,Sitapur,91,222,216,5,40,84,384,0,65,78,0,3,3,125,46,163,155,0,0,0,162,0,3923
Uttar Pradesh,Sonbhadra,32,78,20,0,2,28,77,0,3,8,17,3,1,152,6,24,21,1,0,0,56,0,753
Uttar Pradesh,St.Ravidasnagar,17,57,34,0,8,40,73,0,1,28,0,0,0,55,23,12,11,0,0,0,44,0,574
Uttar Pradesh,Sultanpur,53,138,157,8,56,119,331,0,73,88,0,0,2,206,21,67,58,3,0,0,160,0,2421
Uttar Pradesh,Unnao,77,207,268,5,44,82,334,0,46,135,0,0,0,35,31,237,35,0,0,0,277,0,3438
Uttar Pradesh,Varanasi,52,141,166,1,46,126,706,2,79,393,0,15,1,209,42,176,124,24,0,0,184,0,3900
Uttar Pradesh,Total,5150,10401,12361,663,3920,6921,48380,52,6438,10636,569,332,250,10867,2469,8605,4435,835,0,0,16199,4,240475
Uttarakhand,Almora,4,18,40,0,1,7,8,0,3,4,0,0,1,1,1,4,0,0,0,0,9,0,139
Uttarakhand,Bageshwar,5,9,0,0,0,5,6,0,0,3,0,0,0,1,0,4,0,0,0,0,3,1,77
Uttarakhand,Chamoli,3,12,7,0,1,7,8,0,3,3,0,0,0,2,1,9,0,0,0,0,0,0,126
Uttarakhand,Champawat,2,24,0,0,0,1,6,0,4,5,0,0,0,2,0,5,0,0,0,0,0,0,96
Uttarakhand,Dehradun,26,165,69,7,39,104,439,0,99,127,92,18,2,34,10,80,15,3,0,0,173,1,2178
Uttarakhand,Haridwar,73,219,241,22,70,66,562,0,160,174,0,6,0,43,0,99,0,0,0,0,139,1,2505
Uttarakhand,Nainital,28,108,160,2,5,35,157,0,47,36,9,3,2,20,5,38,7,4,0,0,133,0,1095
Uttarakhand,Pauri Garhwal,6,24,62,0,3,10,37,0,11,14,0,3,0,7,7,12,0,0,0,0,11,1,278
Uttarakhand,Pithoragarh,4,24,11,0,2,8,10,0,12,2,1,3,0,2,3,9,0,0,0,0,5,0,117
Uttarakhand,Rudra Prayag,4,12,7,0,1,14,10,0,5,3,0,0,0,3,1,9,0,0,0,0,5,0,97
Uttarakhand,Tehri Garhwal,6,21,13,0,1,4,19,0,5,9,0,0,3,9,0,0,0,0,0,0,0,0,122
Uttarakhand,Udhamsingh Nagar,55,147,66,8,31,53,468,0,109,6,98,0,0,56,10,67,0,0,0,0,0,0,2234
Uttarakhand,Uttarkashi,2,27,15,0,1,9,7,0,8,4,0,0,0,1,0,7,0,0,0,0,7,0,92
Uttarakhand,Total,218,810,691,39,155,323,1737,0,466,390,200,33,8,181,38,343,22,7,0,0,485,4,9156
West Bengal,North 24 Parganas,141,681,728,40,42,3,1354,0,330,323,4,72,44,1901,66,319,0,0,0,0,441,0,14867
West Bengal,South 24 Parganas,248,1023,749,189,43,135,1523,26,2164,542,21,30,30,795,53,313,110,64,0,0,739,0,21049
West Bengal,Alipurduar,49,354,176,10,2,5,654,10,10,85,0,6,4,19,2,83,18,7,0,131,0,0,3355
West Bengal,Asansol-Durgapur PC,52,174,134,40,12,10,642,0,185,153,76,6,10,2,28,160,32,8,0,0,227,0,4738
West Bengal,Bankura,75,237,71,18,32,11,241,0,162,74,12,3,22,50,18,121,18,1,0,0,173,0,3049
West Bengal,Barrackpur PC,86,231,354,176,13,0,1220,0,73,506,20,51,1,940,21,201,58,5,0,0,498,1,8087
West Bengal,Bidhannagar PC,18,72,102,56,8,7,568,0,63,228,138,12,2,111,6,97,49,5,0,0,168,0,3014
West Bengal,Birbhum,110,246,125,79,43,13,385,173,235,137,3,18,14,665,8,99,22,1,0,0,169,1,3749
West Bengal,Burdwan,133,363,241,74,28,5,732,0,269,392,0,15,40,223,12,273,75,0,0,0,297,0,7694
West Bengal,Coochbehar,80,423,416,1,8,6,387,145,59,110,26,9,57,802,21,151,15,2,0,0,155,1,5142
West Bengal,Dakshin Dinajpur,44,192,206,14,4,2,200,15,10,51,7,12,8,396,13,51,2,0,0,0,157,1,2372
West Bengal,Darjeeling,29,180,65,2,9,3,368,7,7,47,11,3,17,402,0,95,5,3,0,0,198,4,2418
West Bengal,Hooghly,125,330,355,147,20,12,1076,0,376,592,20,84,66,75,34,226,38,4,0,0,431,0,8858
West Bengal,Howrah G. R. P.,82,231,181,43,9,22,284,114,127,143,11,6,26,835,5,181,48,5,0,0,269,12,5259
West Bengal,Howrah PC,43,129,202,65,29,9,1126,7,32,375,17,45,15,330,4,318,124,17,0,0,401,0,6273
West Bengal,Howrah Rural,11,9,5,42,2,0,288,4,1,10,1,9,0,0,1,13,0,1,0,0,1,0,445
West Bengal,Jalpaiguri,57,387,218,4,9,6,764,0,11,30,18,18,5,42,16,199,71,0,0,0,198,0,3832
West Bengal,Jhargram Police District,28,87,25,5,4,9,113,3,26,15,0,0,4,39,3,70,8,1,0,0,44,0,803
West Bengal,Kharagpur G. R. P.,7,0,3,0,2,0,155,1,2,3,0,0,0,1,0,6,0,1,0,0,5,1,213
West Bengal,Kolkata,83,462,423,27,33,66,4623,114,316,2027,0,72,0,917,12,585,134,119,3,0,4358,15,26668
West Bengal,Malda,102,756,340,59,26,7,429,64,46,114,0,246,41,1313,31,331,21,0,0,0,188,4,6432
West Bengal,Murshidabad,158,1422,596,82,19,3,947,4,84,182,52,177,31,3813,36,526,69,4,0,0,459,6,14762
West Bengal,Nadia,166,612,463,69,41,1,1017,0,133,380,7,102,13,1106,50,192,0,0,1,0,416,0,11790
West Bengal,Paschim Medinipur,104,273,208,28,47,6,745,87,243,111,26,3,14,89,21,558,0,0,0,0,377,0,5791
West Bengal,Purab Medinipur,100,336,317,44,25,7,544,6,434,119,40,18,30,15,27,159,36,5,1,0,440,7,6778
West Bengal,Purulia,72,216,54,26,17,4,190,0,71,30,9,3,9,238,4,142,0,0,0,0,63,0,1800
West Bengal,Sealdah G. R. P.,23,21,20,43,0,0,346,47,5,10,0,0,0,59,1,46,0,0,0,0,0,0,655
West Bengal,Siliguri G. R. P.,8,3,4,2,1,0,148,0,0,0,0,3,0,0,0,9,2,3,0,0,0,0,220
West Bengal,Siliguri PC,46,216,154,0,15,3,1125,34,6,289,45,24,4,265,2,165,115,0,0,0,317,0,4623
West Bengal,Uttar Dinajpur,90,561,350,33,63,4,721,72,29,161,6,30,47,2793,9,157,7,6,0,0,491,8,8312
West Bengal,Total,2370,10227,7285,1418,606,359,22915,933,5509,7239,570,1077,554,18236,504,5846,1077,262,5,131,11680,61,193048
A&N Islands,South Andaman,5,57,14,0,2,53,35,1,10,66,3,3,3,20,3,27,8,4,0,0,152,0,556
A&N Islands,North & Middle Andaman,2,33,8,0,0,8,10,0,0,5,0,0,1,9,0,14,10,0,0,0,39,0,159
A&N Islands,Nicobar,1,6,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,0,31
A&N Islands,Total,8,96,22,0,2,64,45,1,10,71,4,3,5,29,3,41,18,4,0,0,198,0,746
Chandigarh,Chandigarh,24,177,187,14,65,134,1260,0,33,247,4,0,13,19,2,87,31,10,0,0,277,0,3221
Chandigarh,Total,24,177,187,14,65,134,1260,0,33,247,4,0,13,19,2,87,31,10,0,0,277,0,3221
D&N Haveli,D&N Haveli,4,15,14,0,2,15,38,0,6,22,0,3,5,13,0,2,0,0,0,0,34,0,277
D&N Haveli,Total,4,15,14,0,2,15,38,0,6,22,0,3,5,13,0,2,0,0,0,0,34,0,277
Daman & Diu,Daman,6,6,10,0,5,21,29,0,4,36,3,0,0,13,0,2,2,0,0,0,15,0,198
Daman & Diu,Diu,1,0,0,0,0,0,2,0,0,2,1,0,0,2,0,1,1,0,0,0,10,0,35
Daman & Diu,Total,7,6,10,0,5,21,31,0,4,38,4,0,0,15,0,3,3,0,0,0,25,0,233
Delhi UT,Central,30,273,305,8,288,576,4124,0,6,287,14,3,0,40,7,212,54,26,0,0,416,0,8932
Delhi UT,Crime Branch,0,3,1,0,0,0,0,0,0,35,0,12,0,0,0,1,0,1,0,0,0,0,52
Delhi UT,East,61,690,678,4,789,999,9437,0,24,528,12,2,19,37,15,446,171,91,0,0,846,0,18642
Delhi UT,EOW,0,0,0,0,0,0,0,0,0,45,33,0,0,0,0,2,0,2,0,0,0,0,85
Delhi UT,IGI Airport,1,0,3,0,3,1,157,0,0,14,169,0,0,1,0,12,3,2,0,0,27,0,453
Delhi UT,Metro,0,3,10,0,4,2,2198,0,1,17,0,0,1,2,0,28,5,2,0,0,1,0,2309
Delhi UT,New Delhi,6,60,44,0,63,53,1252,0,22,109,91,156,8,4,2,56,25,14,0,0,392,0,2421
Delhi UT,North,31,180,279,19,353,653,4309,0,14,317,0,6,11,28,6,180,42,16,0,0,514,0,8201
Delhi UT,North-East,84,711,1047,28,1286,1049,8185,0,25,353,0,0,19,71,27,492,171,47,0,0,656,0,16904
Delhi UT,North-West,48,495,663,29,734,935,7341,0,8,389,5,6,10,93,14,404,109,61,0,0,631,0,13251
Delhi UT,Outer,87,777,1198,22,1009,1842,10031,0,13,431,6,3,31,75,22,428,133,52,0,0,967,1,20320
Delhi UT,RAILWAY,10,3,38,2,62,0,1455,0,3,6,0,0,0,6,0,19,15,2,0,0,5,0,1816
Delhi UT,South,40,840,627,4,496,1249,8670,0,16,563,7,9,32,82,6,595,150,0,0,1,1215,1,17371
Delhi UT,South-East,67,798,683,22,394,1065,7557,0,20,430,7,3,20,109,24,469,85,74,0,0,1124,0,14914
Delhi UT,South-West,66,702,719,20,403,913,4632,0,5,519,9,3,21,66,17,494,86,99,0,0,982,1,11320
Delhi UT,Spl Cell,0,0,0,0,0,0,1,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,14
Delhi UT,SPUWAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
Delhi UT,Vigilance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,West,55,753,848,11,580,972,9404,0,3,555,6,3,18,76,13,484,137,52,0,0,984,10,18488
Delhi UT,Total,586,6288,7143,169,6464,10309,78753,0,160,4601,359,221,190,690,153,4322,1186,541,0,1,8760,13,155654
Lakshadweep,Lakshadweep,0,3,0,0,0,10,15,2,9,0,2,0,5,1,0,1,0,0,0,0,1,0,81
Lakshadweep,Total,0,3,0,0,0,10,15,2,9,0,2,0,5,1,0,1,0,0,0,0,1,0,81
Puducherry,Karaikal,6,9,1,3,1,18,33,1,5,4,5,0,0,8,0,12,4,0,0,1,199,0,671
Puducherry,Puducherry,19,21,12,8,5,43,391,17,34,55,8,0,1,97,1,20,8,1,0,0,974,0,2913
Puducherry,Total,25,30,13,11,6,61,424,18,39,59,13,0,1,105,1,32,12,1,0,1,1173,0,3584
